Title,University,Program,Funding,Year,Recipients_Partners,Description,Category
Multiplexed Micro-physiological Perfusion System for Bioproduction and Drug Testing,The University of Melbourne,AEA Innovate Round 1,"$960,010.00",2025,Dr Xumei Gao,"The project will commercialise an automated fluidic perfusion platform to enhance biomedical research and biomanufacturing. Pilot production and user studies will validate its impact. This innovation will accelerate drug development, reduce reliance on animal models, and strengthen Australia’s position in advanced biotech through industry collaboration and scalable technology.",Health & Medical Technology
Scaling Australian critical mineral production through muon tomography,Swinburne University of Technology,AEA Innovate Round 1,"$1,933,228.00",2025,Dr Federico Scutti,"The project will commercialise muon tomography for mineral exploration and mine safety. Swinburne and mDetect will deploy space-particle detectors to deliver non-invasive subsurface imaging. This will reduce exploration costs, improve safety, and unlock export and manufacturing opportunities - revolutionising mining with advanced, scalable technology made in Australia.","Energy, Environment & Sustainability"
NexusCharge: Intelligent Charging and Fleet Management for Electric Vehicles,The Royal Melbourne Institute of Technology (RMIT),AEA Innovate Round 1,"$4,069,130.00",2025,Prof Mahdi Jalili,"The project will scale NexusCharge, an AI-powered platform enabling precise EV transition planning and fleet management. It will help organisations streamline operations, reduce emissions, and meet sustainability goals. NexusCharge will accelerate corporate fleet electrification, supporting Australia’s shift to zero-carbon transport and a net-zero future.","Energy, Environment & Sustainability"
SWER Broken Conductor: Proofing scale for commercialisation,Victoria University,AEA Innovate Round 1,"$902,372.00",2025,Dr Douglas Pinto Sampaio Gomes,"The project will deploy conductor breakage detection devices across regional SWER networks to reduce fire risks. AI-driven diagnostics and commercial design will enhance safety, reliability, and asset monitoring. This innovation will support renewable energy, protect ecosystems, and position Australia as a global leader in rural powerline safety technology.",Health & Medical Technology
RoadSense Analytics (RSA): AI-enabled Traffic Intelligence,The University of Western Australia,AEA Innovate Round 1,"$2,680,674.00",2025,Dr Yuchao Sun,"The project will advance RSA, an AI-powered video analytics tool, to market-ready status. It will deliver deep traffic insights, reduce accidents, and optimise infrastructure. RSA will support Vision Zero, Net Zero, and Smart Cities goals, positioning Australia as a global leader in intelligent transport and complex video analysis.","Defence, Aerospace, & Security"
Development and Implementation of High-Throughput JPEG 2000 (HTJ2K) Hardware Encoder and Decoder with Code-block Caching Support,The University of New South Wales,AEA Innovate Round 1,"$857,546.00",2025,Dr Aous Naman,"This project will build a fast and energy-efficient image compression system for high-quality pictures and videos. Using new hardware, it will speed up a powerful tool called HTJ2K. The team will create a ready-to-use solution for industries like medical imaging, defence, and video storage, helping them work faster and smarter.",Health & Medical Technology
Facile water-based polyethylene terephthalate (PET) recycling for innovative packaging,The University of New South Wales,AEA Innovate Round 1,"$4,991,377.00",2025,Dr Vipul Agarwal,"This project will develop a new way to recycle plastic bottles, even coloured ones, into high-quality material. Using a patented method from UNSW, it will remove dyes from the plastic waste and turn it into clean powder that can be reused. The team will scale up the technology to help Australia recycle more and reduce plastic pollution.","Energy, Environment & Sustainability"
Long Range Wi-Fi systems for Underground Mines and other Large Industry Settings,The University of Sydney,AEA Innovate Round 1,"$1,587,748.00",2025,Prof Yonghui Li,"This project will build a new WiFi system that works over long distances, even in underground mines. It uses regular WiFi chips to keep costs low and has already shown great results. The team will improve and launch the system to boost safety and connectivity in mining and other large industries.","Energy, Environment & Sustainability"
Commercialisation of a novel conductive polymer for next-generation solar modules,The University of New South Wales,AEA Innovate Round 1,"$1,000,000.00",2025,Dr Ziheng Liu,"This project aims to commercialise novel conductive polymers for the fabrication of next-generation Si-based tandem solar panels and building integrated photovoltaic products. The material is clear, strong, and can carry electricity. The team will scale up production to make solar panels that are cheaper and more powerful, helping Australia make clean energy and create new jobs.","Energy, Environment & Sustainability"
Operationalisation of a sovereign Autonomous Underwater Vehicle capability,The University of Sydney,AEA Innovate Round 1,"$1,830,000.00",2025,Dr Lachlan Toohey,"This project will launch a smart underwater robot that can take clear pictures of the seafloor, even in tricky areas. Built at the University of Sydney, the robot is small, easy to carry, and highly manoeuvrable. The team will test and improve it for use in defence, energy, and ocean surveys.","Energy, Environment & Sustainability"
Commercialising quantum computer readout subsystems,The University of Sydney,AEA Innovate Round 1,"$1,942,350.00",2025,Dr Cassandra Joyce Chua,"This project will build powerful quantum amplifiers—tiny devices that help quantum computers work better. Made in Australia, they will be used in defence, science, and tech. The team will set up new ways to make and package these devices, helping Australia lead in global quantum innovation and manufacturing.","Energy, Environment & Sustainability"
Single Stage Production of Ultrahigh Grade Minerals,University of Newcastle,AEA Innovate Round 1,"$1,548,046.00",2025,Prof Kevin Galvin,"This project will create a new way to recover valuable minerals like tin and manganese, even from mining waste. Using a smart mixing system, it will help separate tiny mineral particles more effectively. The team will work with industry to build the technology, boosting clean mining and creating new job opportunities.","Energy, Environment & Sustainability"
Ultra-Wide Band Based Collision Awareness System,The University of New South Wales,AEA Innovate Round 1,"$1,035,002.00",2025,Mr Kai Zhao,"This project will improve safety in places like mines and warehouses by helping machines and people avoid crashes. It uses a smart tracking system based on Ultra-Wide Band technology. The team will upgrade the system and work with industry to launch it, making workplaces safer and more efficient.",Mining & Resources
Autonomous Drone Battery Swap,Macquarie University,AEA Innovate Round 1,"$2,240,200.00",2025,Mr Avishkar Seth,"This project will create a smart drone system that swaps batteries mid-air to fly longer. Using AI and special hardware, one drone gives a fresh battery to another while removing the old one. Partnering with DroneX, the team aims to launch a startup, Dronergy, to bring this breakthrough to market.","Energy, Environment & Sustainability"
